variant,axis,sensor,model,rmse_N,rmse_fold_std,rmse_seed_spread,rmse_pct_fs,max_level_err_mean_N,max_level_err_worst_N,noise_floor_N
X-H2,X,H2,linear,0.065,0.0296,0.0,2.168,0.1031,0.1031,0.0183
X-H2,X,H2,quadratic,0.1311,0.0613,0.0,4.37,0.2388,0.2388,0.0183
X-H2,X,H2,mlp,0.1203,0.0384,0.0692,4.011,0.1847,0.33,0.0183
X-H2,X,H2,residual,0.1134,0.0341,0.0764,3.779,0.2367,0.3425,0.0183
X-H4,X,H4,linear,0.0548,0.0331,0.0,1.827,0.0943,0.0943,0.0095
X-H4,X,H4,quadratic,0.0386,0.0316,0.0,1.288,0.0954,0.0954,0.0095
X-H4,X,H4,mlp,0.1,0.0149,0.0798,3.333,0.1728,0.3006,0.0095
X-H4,X,H4,residual,0.0479,0.0235,0.0309,1.597,0.1099,0.153,0.0095
X-H6,X,H6,linear,0.0614,0.0385,0.0,2.045,0.1241,0.1241,0.0294
X-H6,X,H6,quadratic,0.0676,0.0218,0.0,2.252,0.091,0.091,0.0294
X-H6,X,H6,mlp,0.0649,0.0096,0.0228,2.164,0.0947,0.1303,0.0294
X-H6,X,H6,residual,0.0632,0.0213,0.0153,2.107,0.0918,0.1151,0.0294
Y-H2,Y,H2,linear,0.0921,0.0374,0.0,3.069,0.1636,0.1636,0.0118
Y-H2,Y,H2,quadratic,0.1209,0.057,0.0,4.031,0.2139,0.2139,0.0118
Y-H2,Y,H2,mlp,0.142,0.078,0.043,4.734,0.2869,0.4645,0.0118
Y-H2,Y,H2,residual,0.0854,0.0509,0.0204,2.845,0.1729,0.1944,0.0118
Y-H6,Y,H6,linear,0.0931,0.0252,0.0,3.103,0.1307,0.1307,0.033
Y-H6,Y,H6,quadratic,0.0473,0.0251,0.0,1.575,0.0878,0.0878,0.033
Y-H6,Y,H6,mlp,0.0934,0.0458,0.0343,3.113,0.1802,0.2281,0.033
Y-H6,Y,H6,residual,0.0682,0.0376,0.0203,2.272,0.1364,0.1507,0.033
Z-H2,Z,H2,linear,0.4892,0.0502,0.0,2.446,1.4866,1.4866,0.0824
Z-H2,Z,H2,quadratic,0.4514,0.1104,0.0,2.257,1.886,1.886,0.0824
Z-H2,Z,H2,mlp,0.1666,0.0451,0.0641,0.833,0.8028,1.5575,0.0824
Z-H2,Z,H2,residual,0.1785,0.0234,0.045,0.892,0.702,1.0165,0.0824
Z-H2-trim15,Z,H2,linear,0.2754,0.0376,0.0,1.377,0.7037,0.7037,0.1002
Z-H2-trim15,Z,H2,quadratic,0.2844,0.0706,0.0,1.422,0.7675,0.7675,0.1002
Z-H2-trim15,Z,H2,mlp,0.1899,0.0452,0.0663,0.949,0.7355,1.199,0.1002
Z-H2-trim15,Z,H2,residual,0.1965,0.0421,0.0814,0.983,0.7395,1.7099,0.1002
Z-H4,Z,H4,linear,0.5854,0.0375,0.0,2.927,1.3219,1.3219,0.239
Z-H4,Z,H4,quadratic,0.3378,0.0354,0.0,1.689,0.8701,0.8701,0.239
Z-H4,Z,H4,mlp,0.2796,0.0168,0.0192,1.398,0.4849,0.5167,0.239
Z-H4,Z,H4,residual,0.2993,0.0148,0.0183,1.497,0.4836,0.5203,0.239
Z-H6,Z,H6,linear,0.1928,0.0138,0.0,0.964,0.4268,0.4268,0.1062
Z-H6,Z,H6,quadratic,0.128,0.0161,0.0,0.64,0.2886,0.2886,0.1062
Z-H6,Z,H6,mlp,0.1499,0.0197,0.0322,0.75,0.3927,0.6127,0.1062
Z-H6,Z,H6,residual,0.1876,0.0218,0.031,0.938,0.4705,0.5996,0.1062
