x1,y1,z1
473.4,-793.2,6916.6
475.95,-793.95,6911.52
475.05,-793.8,6909.58
473.85,-796.95,6912.97
473.55,-790.5,6915.88
473.25,-792.75,6914.18
474.15,-792.9,6917.81
474.75,-793.35,6911.52
475.35,-794.85,6915.15
473.7,-793.5,6913.94
477.45,-795.6,6915.39
474.15,-793.95,6913.7
474.45,-795,6914.42
474.45,-792.6,6912.49
474.15,-794.1,6917.57
475.5,-792.3,6913.46
474.15,-794.4,6913.7
471.6,-796.05,6912.73
473.1,-796.95,6912.49
475.2,-793.5,6914.67
475.95,-792,6911.76
476.55,-794.4,6918.3
470.55,-794.7,6918.78
473.4,-793.05,6911.76
476.25,-791.7,6916.84
476.55,-793.5,6916.12
473.1,-793.8,6913.94
475.5,-794.55,6915.15
474.45,-793.2,6916.6
469.8,-792,6913.94
474.3,-794.55,6913.21
473.7,-794.1,6911.52
474.45,-790.95,6920.72
476.25,-793.95,6917.57
477.6,-795.15,6915.39
474.3,-795,6912.73
473.1,-794.25,6911.04
475.05,-793.8,6915.63
476.1,-792.15,6916.36
475.5,-792.15,6913.7
474,-793.95,6921.93
474.45,-791.4,6914.18
474.6,-793.5,6913.46
472.65,-794.7,6919.99
475.8,-793.8,6916.84
474.3,-792.15,6910.79
475.05,-794.55,6914.18
474,-796.5,6914.42
473.85,-794.25,6912.73
473.4,-792.9,6912.97
473.7,-793.35,6913.94
473.25,-792.75,6916.36
474.3,-794.7,6915.15
475.8,-793.35,6916.12
474,-792,6915.63
476.7,-794.4,6916.12
477.6,-793.35,6913.94
475.05,-792.6,6915.39
474.45,-791.4,6920.23
472.05,-795.15,6916.12
477.3,-791.7,6919.99
474.3,-793.05,6913.7
475.2,-795.6,6919.99
477.3,-793.2,6912.97
472.2,-791.55,6916.84
476.1,-792.75,6911.04
473.55,-794.85,6913.7
476.25,-796.05,6911.52
474.9,-794.85,6916.36
473.55,-795.3,6913.94
474.15,-796.8,6919.26
475.65,-793.35,6917.09
475.95,-794.25,6913.46
475.95,-795.45,6913.94
475.8,-796.8,6916.6
474.15,-795,6918.05
473.85,-795.45,6916.36
475.95,-795.6,6912.97
474.6,-795,6917.33
475.8,-794.85,6915.88
477,-793.8,6920.72
475.05,-791.7,6916.36
475.65,-793.65,6916.84
476.25,-793.35,6917.57
475.8,-793.5,6910.07
472.05,-794.85,6920.47
476.85,-794.7,6916.12
476.4,-793.5,6912.73
475.8,-796.8,6915.15
472.35,-795.45,6911.76
475.35,-797.25,6913.7
475.05,-795.45,6912.49
471.6,-792,6916.12
472.8,-794.25,6916.84
476.25,-793.35,6912.73
478.2,-795.3,6912.73
475.5,-797.1,6918.05
475.5,-795.9,6916.84
473.7,-794.85,6911.76
474.45,-793.8,6916.6
475.05,-795,6919.02
478.8,-792.75,6912.49
472.5,-793.65,6920.47
474.15,-796.05,6918.05
478.95,-795.9,6916.12
475.2,-793.8,6912
475.65,-792.15,6921.44
473.4,-793.8,6917.81
472.65,-793.95,6919.26
475.95,-796.05,6916.84
472.65,-795.45,6912.49
474.3,-791.4,6920.96
474.75,-794.25,6916.6
475.35,-795.15,6914.91
477.3,-794.55,6911.04
476.4,-793.65,6917.09
474.45,-794.1,6919.51
475.65,-795.3,6915.63
475.8,-795,6914.67
474.75,-793.35,6912.25
475.35,-795.75,6908.13
473.85,-793.95,6911.28
470.7,-795,6917.81
472.05,-793.2,6919.99
475.05,-793.65,6913.94
473.55,-793.5,6914.18
472.95,-794.7,6913.46
475.8,-796.2,6915.88
477.6,-798.15,6915.15
475.95,-793.05,6916.36
474.15,-794.4,6914.18
473.25,-796.8,6915.63
476.4,-795.15,6916.6
475.5,-796.2,6913.7
474.45,-793.95,6913.46
477.15,-792.3,6912.25
473.4,-793.65,6915.88
474.15,-793.8,6917.33
475.65,-791.55,6917.57
475.05,-791.4,6910.79
476.1,-793.5,6915.63
472.35,-790.8,6914.91
476.7,-793.5,6915.39
474.45,-792.3,6918.78
476.7,-790.95,6913.7
475.05,-792.75,6914.67
475.2,-793.5,6920.23
474.45,-793.8,6918.54
472.8,-795.45,6919.02
474.3,-791.7,6918.05
473.85,-793.95,6913.46
476.1,-793.05,6917.33
471.15,-797.1,6919.26
477.6,-791.1,6914.67
476.7,-793.05,6918.05
475.95,-792.75,6915.15
472.8,-792.15,6916.6
474.6,-791.85,6916.36
475.5,-796.05,6920.23
473.25,-790.05,6915.39
475.8,-795,6916.12
478.95,-792.15,6914.91
474,-796.8,6915.15
474.6,-793.8,6911.52
474.75,-793.35,6915.88
473.7,-793.5,6916.6
474.75,-795,6917.33
473.55,-795.75,6919.26
475.35,-794.7,6915.15
475.35,-792.9,6912.97
477.15,-793.8,6916.6
472.8,-792.9,6916.12
474.9,-792.15,6916.12
475.2,-794.85,6919.99
477,-794.1,6912
473.7,-793.95,6911.76
475.05,-790.65,6914.67
472.8,-795.3,6918.05
476.7,-796.5,6909.1
473.55,-793.65,6917.33
477,-792.3,6916.12
474.45,-792.15,6919.75
474,-793.65,6918.78
474.6,-797.4,6912.25
475.05,-795.75,6916.6
476.55,-796.5,6917.57
474.9,-793.8,6915.15
473.4,-792.75,6919.75
475.35,-792.45,6913.7
472.05,-792.9,6915.15
474.45,-791.7,6919.99
475.2,-794.4,6910.07
476.1,-794.7,6913.94
476.55,-795,6914.67
474.6,-794.7,6914.91
472.5,-792,6915.39
477.45,-792.15,6914.42
473.1,-792.45,6919.51
475.95,-794.7,6915.88
473.55,-792.3,6918.54
474,-792.45,6918.78
478.05,-795,6914.42
474.9,-797.25,6913.21
474.75,-792.75,6909.83
475.2,-794.1,6909.83
475.35,-792.6,6911.76
473.55,-794.85,6914.67
473.1,-794.1,6916.6
474.3,-791.85,6914.91
475.05,-795,6912.97
474,-797.85,6915.88
473.7,-795.9,6920.96
475.5,-795.6,6916.84
476.1,-795,6911.04
475.95,-794.1,6915.39
474.3,-793.8,6914.18
474.9,-791.85,6915.88
474.3,-794.55,6912.97
472.5,-791.7,6916.84
474,-795.6,6918.78
474.45,-795.75,6916.36
471.3,-796.05,6917.57
473.7,-794.4,6917.33
472.8,-795.3,6911.52
474.3,-793.95,6917.81
476.55,-791.25,6918.54
476.25,-796.05,6913.21
473.7,-796.5,6919.51
474.6,-796.2,6916.12
474.75,-794.7,6915.39
474.15,-795.45,6913.94
475.8,-796.95,6917.33
474.45,-794.25,6915.39
477.3,-794.4,6915.88
475.05,-793.95,6920.72
474.9,-792.9,6911.76
475.35,-795.45,6914.91
472.2,-790.65,6918.3
474.3,-793.05,6917.09
471.3,-793.65,6914.18
475.95,-793.95,6914.42
472.5,-794.4,6917.33
477.15,-795.6,6910.79
474.45,-793.2,6912.25
475.05,-791.7,6915.88
477.45,-794.85,6914.67
475.5,-794.25,6915.15
474,-795.6,6923.14
477,-795.45,6917.33
475.65,-793.8,6916.12
474.9,-794.85,6919.75
475.35,-798,6918.3
471.75,-795.3,6914.18
476.7,-792.45,6917.33
476.4,-794.1,6917.09
475.35,-793.05,6919.75
475.65,-792.75,6920.47
471.45,-795.6,6914.42
474.9,-793.95,6916.6
476.25,-797.4,6913.21
473.1,-792.3,6917.57
475.8,-795.3,6916.36
473.25,-793.65,6919.26
475.2,-793.65,6918.3
474.3,-792.3,6918.54
476.85,-793.5,6918.78
475.8,-794.4,6919.51
471.6,-797.1,6915.88
473.85,-791.55,6919.75
475.05,-790.35,6914.42
472.95,-791.55,6912.97
475.65,-798.9,6914.18
477.75,-790.35,6919.75
476.4,-795,6913.46
476.7,-794.1,6914.18
474.6,-793.65,6914.18
475.2,-791.1,6921.44
474.3,-796.5,6918.05
476.85,-793.5,6913.21
472.95,-793.5,6915.39
477.45,-793.65,6916.36
473.55,-790.35,6913.7
475.95,-795.6,6917.81
478.05,-792.75,6919.51
472.8,-793.95,6919.99
474.6,-794.7,6917.81
474,-793.2,6914.18
474.15,-796.65,6921.68
475.65,-798,6917.57
473.1,-796.35,6910.55
475.05,-796.5,6915.15
472.65,-794.55,6915.88
474.45,-795,6916.36
474,-793.5,6919.75
474.15,-791.7,6916.84
476.1,-796.2,6915.15
473.85,-795.3,6919.02
475.35,-791.25,6915.63
473.4,-795.15,6918.05
475.05,-794.25,6915.39
473.55,-793.95,6912.97
475.8,-794.4,6916.36
472.8,-792.75,6912.97
475.2,-793.8,6918.78
477.75,-796.5,6917.81
474.9,-791.7,6913.21
475.95,-795.6,6917.33
472.65,-793.95,6917.57
471.9,-793.35,6910.55
473.1,-795,6917.33
473.85,-794.1,6917.33
474.9,-792.45,6913.7
477.9,-795.45,6913.46
473.4,-791.25,6919.75
472.95,-795,6919.02
475.65,-792.45,6918.3
475.2,-791.85,6917.81
475.35,-795,6915.15
476.4,-792.15,6912.25
476.85,-794.7,6916.12
475.5,-792.9,6917.09
475.65,-793.2,6919.75
475.65,-794.85,6912.25
472.2,-796.5,6914.42
473.55,-793.35,6912
475.8,-791.7,6912.97
478.5,-793.95,6915.15
472.5,-795.6,6913.46
473.1,-794.25,6917.33
476.7,-794.25,6917.33
471,-794.1,6916.36
475.05,-792,6918.3
477.45,-795.3,6920.72
475.2,-794.55,6916.12
473.1,-794.85,6919.75
477,-797.25,6912.49
475.35,-793.2,6916.12
477.15,-793.2,6914.18
469.95,-792.45,6916.6
473.85,-793.05,6914.67
474.75,-794.4,6914.42
474,-793.35,6915.39
474.75,-794.1,6914.91
475.05,-796.2,6915.63
474,-795.15,6913.46
474.45,-792.9,6913.7
472.95,-796.05,6910.31
472.65,-796.2,6912.25
475.5,-795.3,6917.33
475.65,-793.35,6917.09
476.4,-793.95,6919.75
476.25,-794.55,6919.02
473.7,-793.5,6915.39
474.15,-794.25,6917.33
473.25,-793.2,6920.47
474.75,-795.3,6916.36
472.35,-791.25,6917.57
472.95,-792.15,6918.05
472.2,-791.55,6919.51
475.8,-791.85,6915.88
477.15,-794.55,6912.97
476.55,-794.25,6913.46
476.1,-794.4,6919.26
475.2,-794.4,6916.12
474.45,-791.4,6915.39
474.45,-793.95,6913.94
479.25,-796.95,6915.39
477.45,-794.1,6914.91
475.8,-793.2,6920.72
474.75,-796.2,6913.21
476.4,-795.9,6917.09
474,-792.3,6913.94
472.95,-793.2,6912.97
474.3,-794.25,6919.75
472.95,-793.8,6920.23
471.9,-792.3,6915.88
477.9,-796.65,6918.54
477.15,-795,6914.91
476.25,-795.75,6916.84
474.9,-792.15,6912.97
477.15,-795.3,6924.35
475.35,-798.6,6912
474.9,-796.2,6916.12
474.45,-793.8,6913.7
476.25,-793.65,6914.91
476.85,-794.7,6918.78
