x1,y1,z1
-37.65,-151.95,-854.74
-38.4,-151.05,-854.26
-38.55,-150,-854.99
-39.15,-151.8,-855.71
-39.45,-151.95,-855.23
-38.55,-152.85,-852.32
-39,-151.05,-854.02
-38.7,-149.55,-854.74
-37.35,-151.35,-853.29
-37.65,-151.05,-853.78
-39.6,-147.6,-853.29
-42.9,-148.05,-854.5
-37.2,-153,-851.11
-38.25,-147.9,-855.47
-40.2,-150.15,-853.29
-40.65,-151.95,-849.42
-39.6,-150.6,-852.81
-39.3,-154.35,-854.74
-38.55,-153.15,-852.08
-37.65,-150.15,-851.84
-39.3,-149.55,-850.87
-40.2,-149.25,-854.5
-42.3,-150.3,-854.26
-38.85,-153.6,-851.84
-39.3,-152.7,-853.29
-39.75,-150.3,-849.66
-40.65,-150.6,-854.5
-39.75,-151.8,-851.84
-37.65,-149.55,-850.63
-42.45,-154.8,-852.08
-39.6,-151.05,-853.53
-37.8,-150.9,-853.53
-37.95,-151.2,-855.23
-40.5,-150.6,-856.2
-37.8,-153.45,-852.57
-37.05,-147.45,-855.71
-39.15,-150,-850.15
-39.45,-151.05,-851.11
-38.25,-150.45,-858.13
-40.8,-147.9,-849.42
-40.95,-150.9,-856.92
-36.75,-153,-854.5
-38.85,-152.85,-853.29
-40.95,-151.8,-850.87
-39.9,-149.25,-854.5
-40.2,-150.45,-857.16
-39,-149.85,-856.68
-38.4,-148.95,-858.13
-41.7,-150.3,-854.02
-38.25,-152.55,-853.29
-36.75,-149.55,-854.99
-37.65,-149.85,-852.32
-39.6,-148.8,-849.18
-40.5,-149.1,-852.81
-38.7,-149.4,-853.78
-39,-151.2,-853.29
-38.4,-151.2,-854.26
-41.1,-149.25,-854.99
-37.65,-153.3,-852.08
-38.85,-151.65,-850.87
-36,-151.65,-852.81
-40.2,-149.25,-852.57
-37.8,-152.1,-853.78
-40.95,-148.8,-856.2
-39.6,-152.4,-851.6
-40.5,-152.85,-854.26
-39.15,-151.05,-856.44
-41.4,-149.55,-854.74
-38.1,-151.05,-853.29
-40.35,-148.65,-857.41
-37.95,-151.35,-855.23
-38.25,-150.15,-850.63
-37.2,-148.95,-850.15
-40.5,-150,-849.42
-38.25,-150.6,-855.23
-38.4,-153.3,-856.2
-37.8,-148.5,-856.2
-40.05,-150.45,-854.02
-41.4,-153.9,-855.95
-38.7,-153.45,-854.26
-40.35,-151.95,-855.47
-41.55,-151.05,-852.57
-38.7,-153.45,-850.87
-36.9,-150.6,-853.53
-41.1,-150.6,-851.6
-40.2,-152.1,-852.32
-39.6,-150.15,-854.02
-37.8,-152.25,-853.29
-38.85,-151.8,-852.81
-39.9,-153,-850.63
-38.85,-150.9,-854.02
-38.25,-154.65,-852.57
-40.05,-151.05,-854.26
-37.05,-152.4,-854.02
-40.35,-148.8,-854.99
-39.15,-151.05,-851.36
-39,-152.55,-854.99
-40.05,-152.4,-854.74
-37.65,-152.25,-856.44
-36,-153,-854.99
-41.1,-151.8,-851.6
-37.2,-151.05,-858.37
-36.45,-153.15,-854.02
-39.15,-151.8,-855.95
-41.55,-154.95,-852.08
-38.55,-151.95,-850.39
-38.4,-152.4,-856.92
-38.7,-150.6,-852.57
-39.45,-151.5,-853.53
-38.25,-151.2,-849.18
-37.35,-154.35,-850.87
-41.1,-154.2,-851.36
-40.2,-149.4,-853.05
-40.5,-152.4,-853.29
-41.85,-150.6,-855.71
-37.95,-154.2,-854.74
-40.2,-152.85,-853.53
-39.75,-146.1,-855.95
-39,-149.4,-854.26
-38.4,-150.45,-853.78
-41.25,-152.55,-856.92
-37.35,-149.25,-858.37
-38.85,-150.6,-848.69
-40.8,-151.95,-855.47
-40.5,-150.15,-854.26
-42,-151.5,-856.44
-37.05,-146.7,-857.65
-36.9,-148.65,-854.99
-39.3,-153.6,-854.02
-38.4,-149.1,-852.57
-37.8,-150.45,-850.87
-38.4,-150.3,-854.26
-37.5,-152.1,-853.78
-38.4,-151.35,-850.15
-39.9,-149.85,-854.74
-38.85,-148.95,-849.42
-38.7,-151.2,-854.74
-38.85,-148.35,-850.63
-39.3,-149.55,-858.86
-38.55,-151.5,-850.39
-39.9,-150.15,-852.57
-39.75,-153.3,-856.2
-37.2,-151.8,-854.99
-39.45,-152.25,-854.26
-39.45,-152.55,-852.57
-37.65,-153.45,-853.78
-40.8,-154.05,-852.81
-39.3,-152.7,-852.32
