x1,y1,z1
248.25,-346.8,-3548.2
254.25,-348.3,-3552.32
252.75,-344.4,-3549.41
252.75,-349.5,-3550.62
249.6,-346.05,-3551.35
250.35,-347.7,-3550.62
248.4,-347.7,-3550.14
251.25,-349.35,-3545.54
250.35,-345.45,-3545.78
250.35,-346.65,-3546.75
254.1,-348.3,-3552.32
249.9,-345.15,-3550.62
248.4,-348.15,-3556.19
249.6,-347.55,-3551.11
250.65,-348.45,-3553.77
252.3,-345.9,-3551.35
247.8,-349.05,-3550.14
251.1,-345.3,-3551.83
251.1,-348.9,-3545.54
249.6,-349.65,-3546.75
252.45,-346.65,-3547.24
248.85,-348.15,-3552.8
250.05,-347.4,-3548.69
246,-345.75,-3546.75
249.3,-347.25,-3545.3
250.95,-348.15,-3553.53
253.5,-346.35,-3548.69
249.45,-348.6,-3547.24
248.25,-347.55,-3552.8
249.6,-347.55,-3550.14
249.3,-348.75,-3554.01
250.95,-344.7,-3553.04
247.8,-348.6,-3551.11
249.6,-348.45,-3551.11
248.55,-346.8,-3552.32
249.75,-345.75,-3550.14
250.5,-348.3,-3548.45
251.85,-348.9,-3549.9
246.9,-347.4,-3548.45
247.8,-347.7,-3548.69
251.1,-348.45,-3547.24
251.4,-349.95,-3555.22
248.1,-351.9,-3548.93
250.95,-348.9,-3550.87
249.6,-349.05,-3550.14
250.5,-346.95,-3553.53
247.8,-348.9,-3550.87
249,-349.8,-3545.78
248.55,-345.9,-3549.17
249.75,-347.4,-3554.01
249.3,-347.7,-3550.62
249,-346.5,-3552.08
249.6,-348.75,-3549.41
249.6,-346.5,-3548.93
250.05,-347.25,-3546.75
249.45,-347.55,-3546.27
252.75,-348.6,-3551.83
249.3,-348,-3551.83
246.9,-346.05,-3549.17
250.35,-347.1,-3553.29
252.45,-347.4,-3555.95
252,-349.05,-3550.38
250.35,-347.85,-3553.29
251.4,-347.85,-3545.78
249.9,-348.45,-3547.24
249.75,-346.8,-3555.95
249.45,-347.55,-3546.75
250.2,-347.85,-3550.14
249.75,-345.45,-3550.14
248.55,-347.55,-3546.51
250.65,-346.65,-3552.56
251.1,-349.05,-3546.75
248.4,-346.5,-3544.82
252,-347.4,-3550.14
250.65,-348,-3548.93
249,-347.7,-3550.62
