x1,y1,z1
-8.1,-127.35,-884.75
-7.95,-128.55,-892.98
-9.3,-126.6,-885.24
-6.6,-128.85,-890.32
-6,-128.55,-894.19
-8.25,-126.45,-895.64
-9.6,-126.15,-894.92
-6.6,-128.7,-887.9
-9.45,-129.45,-892.01
-10.65,-126.15,-891.77
-10.2,-128.85,-889.11
-5.7,-126.45,-886.69
-8.85,-129.75,-888.14
-8.4,-127.05,-892.5
-9.45,-129.45,-893.71
-8.7,-127.05,-888.38
-12.3,-130.05,-886.2
-9.15,-128.7,-889.11
-10.2,-127.8,-889.83
-9.3,-129.75,-896.61
-5.4,-129.15,-889.59
-7.35,-129,-889.83
-9.3,-127.95,-892.5
-8.1,-123.3,-888.62
-10.2,-126.75,-888.87
-8.1,-127.65,-892.01
-9.6,-125.7,-890.56
-5.7,-128.55,-890.08
-9.45,-129.45,-888.62
-8.1,-126.15,-888.87
-8.25,-126,-894.92
-8.7,-126.9,-890.08
-12,-128.7,-890.08
-7.35,-129.9,-889.83
-9,-129.45,-889.83
-10.35,-129.15,-890.32
-11.85,-127.65,-892.98
-9.45,-124.65,-889.11
-7.5,-127.65,-888.14
-8.25,-129,-889.59
-7.5,-126.45,-884.75
-10.2,-128.4,-893.95
-9.6,-128.55,-890.8
-6.75,-128.4,-891.53
-7.8,-128.7,-890.56
-10.65,-126.75,-891.04
-7.8,-129.75,-893.22
-6.45,-129.3,-891.04
-9.6,-131.85,-891.29
-8.7,-127.95,-889.59
-7.2,-129,-887.9
-8.85,-126.75,-888.87
-11.55,-125.7,-888.62
-6.45,-125.25,-884.75
-9.6,-127.2,-889.83
-8.7,-130.95,-890.56
-8.4,-128.25,-888.87
-9.3,-127.8,-889.35
-7.5,-127.2,-887.9
-12.6,-127.5,-888.14
-8.7,-128.4,-889.35
-7.5,-129.45,-891.29
-9,-128.4,-887.66
-10.95,-124.65,-891.77
-9.15,-129.3,-893.95
-12.15,-127.8,-888.14
-6.75,-126.45,-890.08
-11.25,-130.35,-886.45
-7.8,-126.9,-891.29
-11.4,-126.45,-891.04
-9.75,-128.4,-890.08
-8.85,-124.5,-887.66
-11.7,-130.35,-890.08
-7.65,-126.3,-888.14
-9.6,-128.85,-891.04
-8.85,-127.2,-891.53
-7.35,-126.45,-890.08
-9.3,-128.25,-892.74
-7.95,-129.6,-893.95
-8.4,-132,-891.77
-6.6,-128.4,-892.01
-7.2,-128.1,-885.48
-7.5,-126.6,-885.72
-6.75,-128.25,-891.77
-9,-127.5,-888.62
-10.2,-130.2,-889.83
-7.2,-130.65,-887.66
-8.25,-127.5,-888.38
-6.6,-127.35,-890.56
-9.3,-124.5,-891.77
-9.45,-128.1,-889.83
-7.5,-127.2,-891.53
-9.6,-128.55,-891.77
-9.15,-128.25,-891.77
-7.95,-131.55,-887.66
-10.5,-129.75,-892.01
-8.7,-130.8,-888.87
-5.55,-125.85,-893.46
-10.35,-129.75,-891.77
-11.55,-128.4,-888.62
-7.35,-127.5,-892.5
-7.35,-127.8,-888.62
-9.9,-129.6,-886.45
-9.75,-129.6,-887.17
-9,-129.15,-892.5
-6.3,-127.35,-889.11
-8.1,-129.45,-888.62
-7.65,-126.9,-889.35
-10.2,-129.3,-892.98
-7.05,-125.4,-889.83
-10.2,-129.9,-892.5
-7.2,-125.85,-892.5
-7.65,-127.95,-895.64
-8.1,-126.15,-890.08
-12.45,-127.8,-894.43
-10.35,-126.9,-891.77
-9.75,-129,-890.56
-5.55,-124.8,-886.93
-11.4,-124.8,-891.29
-7.05,-126.9,-892.01
-10.05,-127.05,-890.32
-10.65,-128.1,-892.5
-10.05,-126.6,-892.5
-9.9,-125.4,-890.08
-10.05,-128.25,-895.16
-8.25,-128.7,-887.66
-8.7,-128.7,-893.22
-8.55,-127.35,-891.77
-4.35,-129.75,-888.62
-6.75,-128.7,-888.14
-4.05,-127.05,-890.32
-9.9,-127.95,-890.8
-6.75,-126.3,-890.08
-7.5,-127.95,-892.74
-7.95,-130.05,-891.53
-7.95,-128.25,-889.83
-6.6,-128.85,-892.01
-9,-124.95,-892.98
-5.85,-129,-893.95
-8.85,-126.15,-889.83
-9.15,-131.25,-890.8
-7.2,-125.7,-884.75
-9.75,-127.95,-892.5
-9.3,-130.95,-890.08
-6.75,-128.7,-893.46
-7.8,-126.9,-887.9
-9.45,-127.5,-885.96
-7.35,-127.8,-892.01
-9.75,-130.2,-890.08
-7.05,-128.25,-889.59
-9.15,-127.65,-891.29
-9.9,-128.7,-889.11
-6.9,-128.55,-889.59
-10.05,-128.55,-890.08
-9,-127.2,-891.04
-10.65,-127.05,-888.14
-9.9,-130.35,-891.29
-10.65,-127.05,-889.59
-6.3,-127.95,-893.71
-6.9,-126.45,-888.87
-7.05,-125.7,-891.29
-10.65,-128.1,-890.32
-8.1,-125.4,-887.66
-7.5,-128.55,-888.87
-11.55,-128.25,-892.25
-9,-130.95,-890.08
-9.15,-128.25,-893.71
-6,-129.6,-887.17
-9.9,-128.25,-892.25
-7.65,-130.35,-889.11
-7.5,-128.85,-888.62
-8.1,-126.6,-888.38
-9.45,-126.75,-889.11
-8.4,-125.85,-889.59
-10.2,-126.75,-892.74
-8.55,-127.05,-891.29
-7.05,-129.15,-891.53
-9.75,-127.95,-889.83
-9.3,-125.4,-894.19
-8.7,-128.55,-893.22
-10.65,-127.35,-891.53
-8.4,-126.75,-891.04
-8.25,-128.55,-892.74
-8.85,-130.2,-892.5
-6.75,-129.45,-890.08
-8.85,-127.95,-894.67
-7.5,-126.75,-892.5
-9,-129,-892.01
-10.65,-128.1,-888.14
-10.95,-130.2,-888.38
-9.15,-130.2,-892.74
-7.2,-127.35,-887.17
-7.8,-128.7,-890.8
-10.2,-127.05,-886.2
-9.3,-124.2,-889.35
-8.7,-130.35,-893.71
-10.65,-127.35,-886.93
-9,-130.35,-886.93
-9.9,-130.35,-887.17
-9.6,-130.5,-888.87
-8.85,-130.5,-889.83
-7.35,-127.05,-887.66
-10.35,-124.95,-889.35
-9,-127.8,-892.98
-7.65,-126.3,-892.25
-8.1,-132,-892.01
-8.7,-128.1,-889.35
-8.55,-130.05,-889.35
-9.75,-128.85,-892.25
-6.45,-129.45,-890.32
-8.1,-127.2,-890.8
-7.65,-126.6,-890.08
-7.5,-125.1,-888.38
-9.6,-130.35,-889.11
-7.35,-128.1,-888.87
-9.45,-130.05,-890.8
-6.15,-127.5,-891.77
-9.3,-128.85,-891.77
-6.6,-127.2,-892.74
-9.9,-126.9,-892.01
-7.95,-127.95,-890.56
-7.65,-128.25,-892.98
-10.5,-128.55,-890.08
-8.85,-127.65,-893.46
-10.35,-126.15,-887.9
-8.55,-128.25,-890.8
-8.85,-125.55,-889.59
-11.1,-126.6,-888.87
-6,-127.95,-884.27
-7.5,-126.9,-891.04
-8.25,-125.85,-888.14
-11.4,-128.1,-890.32
-9,-129,-892.74
-8.4,-127.35,-888.87
-8.55,-127.65,-889.35
-9.15,-130.95,-892.5
-10.65,-129.9,-888.62
-9.45,-126.9,-891.04
-7.8,-129.3,-898.06
-6.9,-129.45,-892.74
-8.7,-129.45,-890.32
-9.45,-128.4,-892.25
-7.35,-130.35,-891.04
-9.6,-127.95,-889.35
-10.65,-126.45,-888.38
-9.9,-127.35,-896.61
-7.05,-128.85,-891.04
-7.05,-129.75,-886.45
-11.55,-127.05,-886.93
-10.95,-130.65,-889.59
-9.75,-126.6,-891.77
-5.85,-126.45,-891.29
-6.45,-128.4,-891.53
-11.1,-127.35,-889.83
-9.3,-130.8,-890.32
-6.75,-131.4,-891.77
-6.6,-132,-887.9
-8.85,-128.85,-891.04
-11.55,-131.1,-888.87
-6.3,-127.8,-890.56
-6.6,-125.25,-888.14
-8.25,-127.95,-891.77
-8.7,-126.9,-889.11
-8.4,-129,-884.03
-8.25,-125.7,-890.08
-9.6,-127.05,-884.03
-7.95,-127.8,-887.41
-10.5,-126.45,-890.08
-10.5,-128.7,-890.32
-5.85,-128.55,-893.46
-6.45,-129.9,-889.83
-6.6,-131.55,-891.53
-8.55,-127.65,-892.5
-8.7,-128.4,-893.22
-8.4,-128.85,-890.8
-7.95,-128.7,-889.35
-5.85,-128.7,-894.92
-9,-125.1,-886.93
-9.6,-125.85,-888.87
-10.35,-127.65,-887.9
-8.85,-129.45,-890.8
-11.1,-127.35,-892.5
-8.1,-128.4,-892.98
-7.95,-126.15,-890.08
-7.8,-129.15,-888.38
-9.45,-126.45,-889.35
-8.4,-126.9,-887.9
-8.55,-127.95,-892.74
-7.35,-126.75,-885.24
-10.05,-126.6,-891.77
-9,-128.1,-890.56
-7.05,-125.55,-894.19
-9.3,-126.3,-891.53
-9.15,-129.45,-892.74
-10.2,-126.6,-894.43
-8.7,-130.05,-890.56
-11.1,-127.2,-893.71
-7.05,-131.1,-893.22
-4.95,-128.1,-889.35
-6.9,-130.2,-892.98
-7.95,-130.5,-892.01
-10.5,-125.7,-893.22
