x1,y1,z1
-95.25,-124.95,-3078.97
-94.95,-122.7,-3077.76
-100.35,-118.05,-3082.11
-91.8,-127.05,-3067.83
-85.2,-118.5,-3079.21
-105.6,-117.45,-3072.92
-102.3,-115.35,-3074.61
-93.45,-121.05,-3069.77
-103.05,-115.35,-3065.66
-112.2,-124.5,-3068.32
-104.85,-118.05,-3050.65
-92.25,-110.4,-3083.32
-90.6,-115.65,-3068.8
-93.3,-117.6,-3074.61
-96.6,-121.95,-3074.37
-102.6,-122.1,-3071.71
-91.05,-120.75,-3075.58
-98.7,-122.25,-3080.66
-105.9,-125.25,-3064.45
-99.15,-129.15,-3064.93
-101.25,-117,-3061.54
-99.15,-109.2,-3083.32
-100.65,-124.5,-3069.53
-93.3,-121.2,-3073.88
-89.4,-120.45,-3070.5
-97.05,-117,-3061.3
-105.45,-128.4,-3081.63
-93.6,-123.15,-3084.05
-97.2,-111,-3072.92
-109.65,-127.8,-3071.46
-93.3,-134.55,-3063.72
-88.65,-126.45,-3074.13
-94.5,-118.35,-3058.88
-108,-117.6,-3074.13
-100.95,-120.75,-3062.51
-94.95,-128.25,-3072.67
-99.3,-127.8,-3066.87
-95.7,-117.75,-3049.2
-96.75,-120.9,-3067.35
-97.2,-116.85,-3066.14
-107.25,-114.45,-3059.61
-101.85,-111.15,-3068.32
-86.25,-116.7,-3076.79
-103.5,-124.95,-3064.2
-95.7,-116.85,-3063.96
-99.9,-126.9,-3064.2
-92.4,-127.65,-3070.25
-96.75,-116.4,-3056.46
-107.25,-117.9,-3062.03
-101.4,-119.25,-3069.04
-93.75,-124.05,-3071.71
-96.15,-126,-3073.64
-93,-119.85,-3076.06
-102.6,-109.65,-3068.32
-99.6,-124.95,-3060.09
-103.95,-119.4,-3073.64
-105.6,-120.6,-3062.75
-107.4,-121.5,-3071.95
-110.1,-113.7,-3063.72
-91.95,-121.35,-3064.93
-101.7,-120.75,-3071.22
-96.9,-119.85,-3072.19
-94.8,-113.55,-3068.32
-83.7,-124.2,-3066.14
-93.9,-122.85,-3076.79
-98.85,-121.65,-3056.46
-96.15,-113.55,-3062.51
-97.2,-111.3,-3058.64
-109.2,-121.65,-3067.35
-88.95,-114.9,-3073.88
-92.25,-120.6,-3071.71
-99.75,-115.5,-3074.61
-92.25,-121.65,-3066.38
-99.75,-122.25,-3068.08
-95.55,-123.75,-3071.46
-99.3,-124.5,-3069.53
-98.55,-115.8,-3053.8
-111,-119.4,-3063.72
-94.35,-124.5,-3061.06
-102.3,-123.3,-3072.43
-100.8,-117.9,-3079.69
-91.05,-123.15,-3078.72
-105.45,-118.05,-3062.99
-98.25,-110.85,-3054.77
-103.35,-123.75,-3065.66
-83.4,-120.9,-3073.64
-100.95,-112.95,-3079.93
-97.35,-122.7,-3075.82
-100.65,-112.5,-3062.75
-99.9,-123.9,-3073.64
-101.4,-120.3,-3070.98
-92.7,-123,-3059.12
-112.8,-117.6,-3062.03
-97.35,-125.55,-3080.18
-99.3,-121.65,-3074.13
-96.45,-112.95,-3075.82
-95.55,-115.2,-3051.38
-99,-120.75,-3066.87
-98.55,-116.55,-3065.17
-86.4,-120.15,-3078.97
-89.7,-128.7,-3070.25
-94.2,-123.75,-3067.35
-95.25,-118.5,-3061.78
-106.65,-123.15,-3061.54
-101.4,-112.8,-3082.35
-96.3,-119.4,-3069.04
-93.75,-109.95,-3068.08
-102.75,-122.55,-3048.72
-88.8,-113.55,-3071.46
-98.55,-120.9,-3060.33
-100.8,-124.05,-3070.74
-96.3,-130.5,-3076.3
-92.55,-113.7,-3058.15
-103.05,-120.45,-3058.88
-93.9,-122.4,-3065.41
-95.55,-122.55,-3068.32
-98.55,-109.65,-3070.5
-96.45,-113.25,-3069.53
-102.75,-128.25,-3089.86
-99.15,-119.55,-3071.95
-90.75,-117.15,-3078.48
-95.1,-122.55,-3065.9
-102.6,-119.25,-3073.16
-87.6,-117.15,-3063.72
-96.75,-116.1,-3062.03
-93.45,-120,-3063.24
-91.05,-118.65,-3071.71
-90.75,-124.8,-3060.09
-86.7,-118.5,-3065.66
