x1,y1,z1
-62.1,-43.8,-877.49
-61.2,-43.8,-881.61
-63.15,-43.35,-881.12
-62.25,-43.2,-882.82
-62.4,-44.25,-877.01
-62.1,-44.7,-877.49
-58.65,-43.5,-876.77
-62.4,-43.5,-883.78
-62.4,-45.15,-878.46
-60.45,-46.05,-884.03
-61.95,-44.55,-877.98
-63,-42.75,-880.88
-61.2,-42,-874.1
-60.9,-46.35,-878.94
-61.8,-45.3,-877.98
-62.7,-43.5,-878.94
-61.8,-46.65,-876.52
-61.35,-48.9,-878.46
-60.15,-47.1,-877.98
-60.15,-45.9,-876.52
-59.25,-46.2,-876.52
-62.7,-44.4,-876.77
-60.75,-45.45,-879.67
-60.75,-42.75,-880.64
-59.1,-42.3,-883.3
-59.1,-42.3,-880.4
-60.6,-42.45,-877.01
-61.65,-43.2,-875.8
-63.45,-45,-873.86
-61.95,-45.15,-879.19
-59.25,-45.6,-876.77
-61.65,-43.65,-877.98
-59.7,-45.3,-879.19
-60.3,-43.2,-876.52
-64.35,-44.7,-883.06
-59.4,-46.2,-877.49
-58.2,-46.35,-882.82
-58.8,-43.2,-879.43
-60,-44.4,-877.49
-60.9,-45.3,-878.22
-63.45,-42.45,-878.22
-61.95,-45.6,-877.98
-57.9,-43.05,-882.57
-58.8,-44.4,-880.15
-58.95,-45.6,-879.91
-58.35,-43.8,-879.19
-62.1,-44.7,-882.33
-61.8,-45.9,-878.94
-58.5,-46.05,-881.61
-60.3,-43.5,-877.98
-63.45,-39.6,-884.27
-59.1,-49.8,-877.73
-56.25,-43.5,-879.91
-60.6,-44.4,-873.86
-59.1,-42.45,-878.7
-57.9,-42.9,-877.98
-59.25,-45.9,-878.22
-62.4,-44.25,-878.46
-62.25,-42.15,-880.4
-60.6,-45.75,-880.15
-63.9,-46.5,-878.22
-63.15,-43.35,-880.15
-60.15,-44.7,-878.22
-62.25,-43.65,-878.46
-60.6,-41.85,-876.04
-60.3,-45,-881.12
-62.85,-42.75,-876.77
-63.6,-46.2,-880.4
-62.4,-42.75,-878.7
-63,-46.35,-878.94
-63.3,-45.6,-875.56
-61.05,-46.2,-874.59
-62.55,-41.7,-877.98
-61.95,-44.7,-882.09
-57.15,-45,-878.7
-59.85,-43.65,-879.19
-61.35,-41.25,-880.64
-59.85,-44.1,-874.59
-60.9,-41.85,-876.28
-59.85,-46.95,-880.4
-62.25,-44.25,-875.07
-60.3,-45.3,-882.33
-63,-43.65,-883.54
-60.6,-42.3,-882.33
-60.3,-41.55,-882.57
-61.35,-46.2,-878.7
-59.85,-43.95,-883.3
-61.2,-42.75,-878.94
-63.75,-44.4,-880.15
-61.65,-44.55,-879.67
-60.15,-42.75,-877.01
-60.6,-44.1,-879.91
-59.7,-43.5,-877.01
-59.55,-45.15,-879.91
-62.4,-44.55,-878.7
-59.25,-42.45,-881.12
-57.15,-44.7,-877.73
-61.5,-44.1,-879.43
-60.75,-44.85,-875.31
-60.9,-44.7,-878.7
-59.55,-42,-878.46
-60.9,-44.1,-879.67
-61.35,-44.7,-874.35
-59.85,-42.3,-877.73
-61.35,-44.1,-881.36
-57,-42.15,-880.88
-63.3,-44.1,-878.94
-59.7,-45.3,-880.88
-61.35,-42.9,-876.28
-60.3,-44.4,-882.33
-62.4,-45,-881.36
-60,-46.05,-877.01
-59.55,-44.1,-881.61
-60.6,-48,-884.99
-63.75,-45.15,-881.12
-60.6,-45.3,-878.7
-61.95,-43.05,-879.91
-61.65,-42.3,-877.98
-59.25,-44.4,-881.12
-58.35,-46.5,-880.15
-60.9,-44.85,-881.36
-60.45,-45.45,-877.98
-58.65,-42.75,-875.31
-59.85,-46.05,-880.88
-60.15,-46.65,-879.19
-60,-46.05,-879.67
-62.85,-44.25,-877.49
-61.5,-42.6,-879.43
-60.45,-40.95,-878.7
-60.9,-45.3,-878.22
-61.05,-43.35,-876.52
-63.45,-43.35,-879.43
-59.55,-42,-883.78
-62.25,-44.55,-875.31
-62.1,-44.4,-872.89
-61.95,-42.15,-875.8
-62.55,-44.1,-879.43
-59.85,-43.8,-879.67
-65.85,-42.75,-878.7
-61.05,-46.05,-878.46
-58.95,-46.8,-875.31
-59.4,-46.95,-877.25
-61.05,-46.2,-881.61
-60.3,-45.75,-882.09
-62.7,-46.35,-876.52
-60.15,-47.25,-873.86
-60.3,-45.6,-874.83
-63,-44.1,-877.49
-62.1,-44.1,-878.94
-61.95,-41.85,-878.22
-61.8,-43.8,-879.91
-56.55,-42.15,-880.15
-61.05,-44.25,-876.77
-61.95,-44.25,-878.94
-63.75,-43.05,-877.49
-62.7,-45.9,-877.25
-62.1,-44.4,-880.88
-59.85,-43.65,-877.98
-60.6,-43.8,-881.12
-64.35,-42.9,-880.88
-60,-46.05,-880.15
-58.35,-46.05,-880.15
-59.55,-42.75,-876.28
-58.65,-45.75,-881.85
-59.4,-42.6,-880.15
-57.6,-44.25,-877.49
-63.45,-41.7,-876.52
-61.5,-44.1,-878.22
-60.6,-43.05,-880.15
-61.35,-41.1,-879.19
-57.45,-44.1,-875.07
-61.5,-43.65,-879.67
-58.35,-45.6,-880.15
-61.2,-44.25,-879.67
-63,-43.95,-881.85
-61.2,-42.75,-880.4
-60.45,-43.35,-879.91
-58.95,-43.8,-879.19
-64.5,-43.65,-878.22
-64.05,-40.8,-875.56
-60.45,-44.4,-878.46
-61.95,-42.15,-875.8
-62.4,-45.3,-877.73
-63.3,-47.25,-881.85
-61.35,-42.45,-877.73
-61.95,-41.4,-872.17
-59.7,-45.9,-880.15
-59.7,-44.7,-874.59
-58.8,-44.7,-878.94
-60.9,-41.4,-876.52
-59.25,-41.7,-876.77
-60.15,-44.7,-877.98
-62.85,-47.1,-878.46
-59.1,-43.05,-878.94
-60.3,-44.25,-880.88
-62.25,-40.5,-876.04
-63.15,-43.2,-877.01
-63.3,-43.35,-877.25
-57,-43.8,-878.7
-59.1,-43.35,-883.06
-58.95,-43.5,-876.77
-58.95,-44.55,-876.28
-62.1,-46.35,-877.73
-58.65,-41.85,-876.77
-63.75,-44.4,-874.59
-59.85,-44.7,-878.7
-59.85,-47.55,-875.56
-57.6,-43.2,-877.98
-62.55,-44.7,-876.77
-58.65,-43.95,-878.94
-61.5,-45.15,-879.91
-62.25,-44.55,-879.19
-60.45,-42.75,-879.91
-59.7,-45.9,-879.43
-60.45,-42.9,-876.28
-60.75,-47.4,-877.73
-59.55,-47.7,-878.22
-61.8,-46.65,-877.25
-59.7,-42.9,-880.4
-59.85,-47.55,-877.25
-58.8,-44.4,-876.28
-60.9,-45.3,-880.88
-61.2,-42.45,-878.46
-62.25,-41.7,-876.77
-62.7,-41.4,-882.57
-61.8,-42.3,-880.15
-58.2,-44.4,-875.07
-60.45,-46.2,-879.43
-61.05,-44.4,-878.46
-61.05,-44.7,-879.67
-58.35,-42.15,-876.52
-60.75,-41.7,-881.36
-58.95,-44.7,-881.61
-59.85,-46.35,-875.07
-61.8,-42.15,-874.35
-58.5,-43.35,-879.19
-58.2,-43.05,-876.77
-62.1,-43.2,-877.49
-59.85,-44.4,-877.25
-58.95,-45.3,-881.36
-63,-42.15,-876.77
-59.1,-44.25,-878.22
-59.4,-45.6,-876.04
-61.95,-47.1,-879.91
-59.7,-45,-877.73
-62.55,-41.7,-877.73
