epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783676272241,4,-3.00,-25.80,97.04,-1.1700,-1.5570,-1.4858,0.00026,0.00516,0.07553
1783676272243,6,-2.55,-26.85,102.37,-0.7200,-2.6070,3.8442,-0.00843,0.00350,0.00000
1783676272243,6,-1.80,-25.05,100.91,0.0300,-0.8070,2.3842,-0.00422,0.00013,0.00000
1783676272243,6,-2.70,-22.05,97.53,-0.8700,2.1930,-0.9958,-0.00139,-0.00607,0.00042
1783676272301,64,-4.95,-26.55,94.62,-3.1200,-2.3070,-3.9058,-0.00018,0.00830,0.17094
1783676272301,64,-3.45,-24.15,98.01,-1.6200,0.0930,-0.5158,-0.00356,-0.00089,0.00000
1783676272302,65,-0.60,-24.15,98.74,1.2300,0.0930,0.2142,0.00298,0.00037,0.02257
1783676272302,65,-0.15,-26.70,102.12,1.6800,-2.4570,3.5942,-0.00130,0.00494,0.00000
1783676272361,124,-0.30,-24.30,97.77,1.5300,-0.0570,-0.7558,0.00577,0.00193,0.09071
1783676272361,124,-3.00,-24.15,96.32,-1.1700,0.0930,-2.2058,0.00098,0.00101,0.09357
1783676272362,125,-5.25,-26.10,96.32,-3.4200,-1.8570,-2.2058,-0.00451,0.00518,0.05546
1783676272363,126,-2.70,-26.25,101.16,-0.8700,-2.0070,2.6342,-0.00674,0.00279,0.00000
1783676272421,184,-1.05,-22.95,100.19,0.7800,1.2930,1.6642,-0.00158,-0.00482,0.00000
1783676272421,184,1.65,-24.30,98.74,3.4800,-0.0570,0.2142,0.00933,0.00234,0.09159
1783676272422,185,0.60,-26.10,100.19,2.4300,-1.8570,1.6642,0.00431,0.00552,0.00167
1783676272481,244,0.15,-27.00,96.07,1.9800,-2.7570,-2.4558,0.01143,0.01174,0.24378
1783676272481,244,-2.10,-23.55,102.61,-0.2700,0.6930,4.0842,-0.00898,-0.00607,0.00000
1783676272481,244,-3.45,-23.25,98.49,-1.6200,0.9930,-0.0358,-0.00486,-0.00398,0.00000
1783676272482,245,1.05,-27.15,101.64,2.8800,-2.9070,3.1142,0.00317,0.00753,0.00000
1783676272541,304,-5.55,-27.00,96.32,-3.7200,-2.7570,-2.2058,-0.00498,0.00761,0.05981
1783676272541,304,-2.40,-23.40,98.01,-0.5700,0.8430,-0.5158,-0.00093,-0.00237,0.00099
1783676272541,304,-3.60,-24.90,95.83,-1.7700,-0.6570,-2.6958,0.00057,0.00326,0.11560
1783676272542,305,-1.80,-24.90,97.77,0.0300,-0.6570,-0.7558,0.00182,0.00266,0.05500
1783676272601,364,1.05,-22.65,96.07,2.8800,1.5930,-2.4558,0.01217,-0.00037,0.20645
1783676272601,364,-2.10,-25.20,97.77,-0.2700,-0.9570,-0.7558,0.00111,0.00333,0.05051
1783676272602,365,0.75,-23.40,96.80,2.5800,0.8430,-1.7258,0.01022,0.00093,0.16567
1783676272602,365,-1.65,-24.45,98.98,0.1800,-0.2070,0.4542,-0.00030,0.00030,0.00000
1783676272661,424,-2.40,-25.20,96.32,-0.5700,-0.9570,-2.2058,0.00309,0.00449,0.12685
1783676272661,424,-3.15,-23.85,99.46,-1.3200,0.3930,0.9342,-0.00566,-0.00293,0.00000
1783676272662,425,-3.45,-22.65,95.11,-1.6200,1.5930,-3.4158,0.00147,-0.00254,0.12926
1783676272721,484,-1.20,-24.75,100.67,0.6300,-0.5070,2.1442,-0.00220,-0.00011,0.00000
1783676272721,484,0.75,-24.45,100.67,2.5800,-0.2070,2.1442,0.00312,0.00034,0.00000
1783676272721,484,-3.45,-24.15,99.70,-1.6200,0.0930,1.1742,-0.00685,-0.00249,0.00000
1783676272722,485,-0.90,-25.20,98.01,0.9300,-0.9570,-0.5158,0.00399,0.00392,0.07204
1783676272781,544,-0.45,-26.10,98.74,1.3800,-1.8570,0.2142,0.00419,0.00617,0.05573
1783676272781,544,-5.25,-24.60,102.12,-3.4200,-0.3570,3.5942,-0.01640,-0.00468,0.00000
1783676272782,545,-0.45,-28.35,96.80,1.3800,-4.1070,-1.7258,0.00888,0.01459,0.20292
1783676272782,545,-2.25,-27.90,100.67,-0.4200,-3.6570,2.1442,-0.00386,0.00839,0.00000
1783676272841,604,-1.80,-24.15,105.03,0.0300,0.0930,6.5042,-0.01260,-0.00639,0.00000
1783676272841,604,-1.20,-25.35,99.70,0.6300,-1.1070,1.1742,-0.00007,0.00256,0.00000
1783676272841,604,-3.30,-22.05,99.46,-1.4700,2.1930,0.9342,-0.00682,-0.00830,0.00000
1783676272842,605,0.45,-24.60,98.49,2.2800,-0.3570,-0.0358,0.00658,0.00264,0.07507
1783676272901,664,-1.05,-23.85,98.01,0.7800,0.3930,-0.5158,0.00302,-0.00013,0.04770
1783676272902,665,-3.60,-27.90,97.77,-1.7700,-3.6570,-0.7558,-0.00199,0.01020,0.04572
1783676272902,665,-3.00,-23.85,102.37,-1.1700,0.3930,3.8442,-0.01091,-0.00558,0.00000
1783676272961,724,0.30,-22.80,98.01,2.1300,1.4430,-0.5158,0.00637,-0.00228,0.07233
1783676272961,724,-1.80,-25.20,97.28,0.0300,-0.9570,-1.2458,0.00290,0.00400,0.08823
1783676272962,725,-2.85,-24.00,100.43,-1.0200,0.2430,1.9042,-0.00665,-0.00321,0.00000
1783676272962,725,1.35,-23.85,97.04,3.1800,0.3930,-1.4858,0.01161,0.00243,0.17600
1783676273021,784,-3.15,-22.80,102.37,-1.3200,1.4430,3.8442,-0.01175,-0.00875,0.00000
1783676273021,784,-3.75,-22.80,96.07,-1.9200,1.4430,-2.4558,-0.00117,-0.00321,0.06612
1783676273021,784,-2.10,-24.30,99.46,-0.2700,-0.0570,0.9342,-0.00255,-0.00090,0.00000
1783676273022,785,-2.40,-22.35,95.83,-0.5700,1.8930,-2.6958,0.00288,-0.00338,0.11369
1783676273081,844,-4.20,-23.85,98.74,-2.3700,0.3930,0.2142,-0.00720,-0.00297,0.00000
1783676273081,844,-0.60,-24.75,101.40,1.2300,-0.5070,2.8742,-0.00195,-0.00039,0.00000
1783676273081,844,-3.00,-27.15,98.74,-1.1700,-2.9070,0.2142,-0.00250,0.00750,0.00000
1783676273140,903,-0.60,-24.60,97.04,1.2300,-0.3570,-1.4858,0.00647,0.00329,0.12914
1783676273141,904,-0.90,-25.80,99.70,0.9300,-1.5570,1.1742,0.00095,0.00408,0.00000
1783676273141,904,-3.75,-24.60,95.59,-1.9200,-0.3570,-2.9358,0.00049,0.00250,0.12084
1783676273141,904,-2.10,-26.25,98.98,-0.2700,-2.0070,0.4542,-0.00082,0.00526,0.00000
1783676273201,964,0.45,-25.05,98.01,2.2800,-0.8070,-0.5158,0.00770,0.00440,0.10992
1783676273201,964,-1.65,-25.50,98.49,0.1800,-1.2570,-0.0358,0.00108,0.00383,0.02596
1783676273201,964,1.35,-26.40,98.25,3.1800,-2.1570,-0.2758,0.01030,0.00874,0.14241
1783676273201,964,-3.15,-24.15,96.07,-1.3200,0.0930,-2.4558,0.00105,0.00114,0.10381
1783676273261,1024,-1.35,-24.60,100.67,0.4800,-0.3570,2.1442,-0.00268,-0.00065,0.00000
1783676273262,1025,-1.80,-24.45,98.74,0.0300,-0.2070,0.2142,-0.00025,0.00042,0.00000
1783676273262,1025,-0.90,-21.90,101.16,0.9300,2.3430,2.6342,-0.00348,-0.00870,0.00000
1783676273263,1026,-3.60,-22.50,99.70,-1.7700,1.7430,1.1742,-0.00794,-0.00742,0.00000
1783676273321,1084,0.15,-24.90,95.83,1.9800,-0.6570,-2.6958,0.01104,0.00582,0.22697
1783676273322,1085,-2.85,-23.25,97.28,-1.0200,0.9930,-1.2458,-0.00083,-0.00243,0.02833
1783676273322,1085,0.00,-26.10,96.56,1.8300,-1.8570,-1.9658,0.00969,0.00854,0.19726
1783676273380,1143,-1.50,-21.15,95.11,0.3300,3.0930,-3.4158,0.00631,-0.00560,0.16508
1783676273381,1144,0.30,-26.25,96.32,2.1300,-2.0070,-2.2058,0.01106,0.00941,0.22249
1783676273381,1144,-1.05,-24.90,98.98,0.7800,-0.6570,0.4542,0.00156,0.00203,0.00614
1783676273381,1144,-1.65,-24.30,98.74,0.1800,-0.0570,0.2142,0.00011,0.00009,0.00000
1783676273441,1204,-1.65,-26.55,95.83,0.1800,-2.3070,-2.6958,0.00669,0.00942,0.19781
1783676273442,1205,-2.25,-24.45,96.32,-0.4200,-0.2070,-2.2058,0.00320,0.00240,0.12026
1783676273442,1205,-3.00,-20.85,98.98,-1.1700,3.3930,0.4542,-0.00553,-0.01115,0.00000
1783676273442,1205,-5.55,-25.05,98.25,-3.7200,-0.8070,-0.2758,-0.00953,0.00008,0.00000
1783676273501,1264,-2.85,-24.45,99.46,-1.0200,-0.2070,0.9342,-0.00458,-0.00097,0.00000
1783676273501,1264,-2.70,-25.95,97.77,-0.8700,-1.7070,-0.7558,-0.00027,0.00511,0.04374
1783676273501,1264,-2.85,-23.55,98.98,-1.0200,0.6930,0.4542,-0.00401,-0.00315,0.00000
1783676273502,1265,-1.50,-24.00,100.91,0.3300,0.2430,2.3842,-0.00381,-0.00274,0.00000
1783676273561,1324,-0.45,-24.45,98.74,1.3800,-0.2070,0.2142,0.00352,0.00135,0.03144
1783676273561,1324,-1.80,-22.95,96.07,0.0300,1.2930,-2.4558,0.00433,-0.00144,0.12623
1783676273562,1325,1.50,-24.15,95.59,3.3300,0.0930,-2.9358,0.01497,0.00477,0.27012
1783676273621,1384,-3.75,-24.45,94.62,-1.9200,-0.2070,-3.9058,0.00232,0.00298,0.17566
1783676273621,1384,-2.40,-24.45,99.70,-0.5700,-0.2070,1.1742,-0.00379,-0.00089,0.00000
1783676273622,1385,-3.30,-25.50,98.74,-1.4700,-1.2570,0.2142,-0.00401,0.00247,0.00000
1783676273622,1385,0.00,-25.35,99.95,1.8300,-1.1070,1.4242,0.00279,0.00314,0.00000
1783676273680,1443,-0.75,-20.10,95.83,1.0800,4.1430,-2.6958,0.00657,-0.00884,0.12956
1783676273680,1443,-1.50,-21.75,99.22,0.3300,2.4930,0.6942,-0.00144,-0.00772,0.00000
1783676273681,1444,3.30,-25.20,98.74,5.1300,-0.9570,0.2142,0.01430,0.00610,0.15385
1783676273681,1444,1.35,-22.95,98.01,3.1800,1.2930,-0.5158,0.00936,-0.00112,0.10572
1783676273800,1563,-1.95,-22.80,94.38,-0.1200,1.4430,-4.1458,0.00714,-0.00039,0.21893
1783676273861,1624,-3.15,-26.55,97.28,-1.3200,-2.3070,-1.2458,-0.00033,0.00702,0.06801
1783676273861,1624,-3.60,-25.05,97.77,-1.7700,-0.8070,-0.7558,-0.00315,0.00187,0.00376
1783676273862,1625,-2.40,-27.00,98.25,-0.5700,-2.7570,-0.2758,0.00007,0.00794,0.03988
1783676273862,1625,-1.65,-23.10,95.59,0.1800,1.1430,-2.9358,0.00575,-0.00045,0.16112
1783676273862,1625,-0.15,-25.05,92.69,1.6800,-0.8070,-5.8358,0.01637,0.00902,0.40487
1783676273863,1626,-2.25,-22.05,98.01,-0.4200,2.1930,-0.5158,-0.00106,-0.00621,0.00000
1783676273863,1626,-3.30,-22.20,101.40,-1.4700,2.0430,2.8742,-0.01053,-0.00969,0.00000
1783676273864,1627,-4.05,-24.15,99.95,-2.2200,0.0930,1.4242,-0.00901,-0.00313,0.00000
1783676273864,1627,-1.20,-24.45,100.19,0.6300,-0.2070,1.6642,-0.00139,-0.00054,0.00000
1783676273865,1628,0.15,-22.50,99.70,1.9800,1.7430,1.1742,0.00254,-0.00485,0.00000
1783676273921,1684,-0.90,-23.25,97.77,0.9300,0.9930,-0.7558,0.00366,-0.00156,0.05743
1783676273921,1684,0.45,-24.00,100.67,2.2800,0.2430,2.1442,0.00210,-0.00118,0.00000
1783676273921,1684,-2.10,-27.15,100.67,-0.2700,-2.9070,2.1442,-0.00374,0.00629,0.00000
1783676273922,1685,-1.95,-24.30,102.12,-0.1200,-0.0570,3.5942,-0.00730,-0.00331,0.00000
1783676273980,1743,-1.20,-25.65,100.43,0.6300,-1.4070,1.9042,-0.00137,0.00275,0.00000
1783676273980,1743,-1.65,-23.85,97.77,0.1800,0.3930,-0.7558,0.00181,-0.00031,0.04400
1783676273981,1744,-2.85,-24.30,98.25,-1.0200,-0.0570,-0.2758,-0.00229,-0.00027,0.00000
1783676273981,1744,-2.25,-25.20,92.93,-0.4200,-0.9570,-5.5958,0.01010,0.00780,0.33060
1783676274041,1804,-2.40,-25.20,99.70,-0.5700,-0.9570,1.1742,-0.00349,0.00130,0.00000
1783676274041,1804,-1.80,-23.25,98.74,0.0300,0.9930,0.2142,-0.00074,-0.00309,0.00000
1783676274041,1804,-3.00,-26.40,103.09,-1.1700,-2.1570,4.5642,-0.01127,0.00120,0.00000
1783676274101,1864,-2.70,-25.20,95.35,-0.8700,-0.9570,-3.1758,0.00414,0.00520,0.17497
1783676274101,1864,-1.80,-24.15,102.61,0.0300,0.0930,4.0842,-0.00790,-0.00411,0.00000
1783676274102,1865,-0.60,-27.60,96.32,1.2300,-3.3570,-2.2058,0.00909,0.01274,0.21564
1783676274102,1865,-0.15,-23.40,97.53,1.6800,0.8430,-0.9958,0.00629,-0.00038,0.09602
1783676274161,1924,-1.35,-24.90,99.22,0.4800,-0.6570,0.6942,0.00026,0.00159,0.00000
1783676274161,1924,-1.80,-24.75,95.59,0.0300,-0.5070,-2.9358,0.00600,0.00428,0.18096
1783676274162,1925,-0.90,-23.40,98.01,0.9300,0.8430,-0.5158,0.00326,-0.00134,0.04553
1783676274162,1925,-1.35,-24.15,97.28,0.4800,0.0930,-1.2458,0.00373,0.00123,0.08613
1783676274221,1984,-1.65,-22.50,97.04,0.1800,1.7430,-1.4858,0.00268,-0.00357,0.06703
1783676274222,1985,-1.05,-25.50,102.61,0.7800,-1.2570,4.0842,-0.00525,0.00035,0.00000
1783676274222,1985,-0.30,-22.65,101.40,1.5300,1.5930,2.8742,-0.00196,-0.00633,0.00000
1783676274222,1985,-2.25,-24.45,101.88,-0.4200,-0.2070,3.3542,-0.00761,-0.00285,0.00000
1783676274280,2043,-0.90,-26.25,97.53,0.9300,-2.0070,-0.9958,0.00535,0.00745,0.11572
1783676274280,2043,-4.35,-22.20,95.83,-2.5200,2.0430,-2.6958,-0.00263,-0.00515,0.05357
1783676274281,2044,-3.60,-26.10,100.91,-1.7700,-1.8570,2.3842,-0.00883,0.00197,0.00000
1783676274341,2104,-1.50,-26.70,95.59,0.3300,-2.4570,-2.9358,0.00763,0.01018,0.21858
1783676274341,2104,0.30,-24.30,99.70,2.1300,-0.0570,1.1742,0.00369,0.00051,0.00000
1783676274342,2105,-3.75,-28.50,96.07,-1.9200,-4.2570,-2.4558,0.00115,0.01346,0.15005
1783676274342,2105,-1.80,-28.50,95.83,0.0300,-4.2570,-2.6958,0.00706,0.01502,0.22206
1783676274401,2164,-0.30,-26.10,97.04,1.5300,-1.8570,-1.4858,0.00792,0.00788,0.16013
1783676274401,2164,0.30,-27.00,95.83,2.1300,-2.7570,-2.6958,0.01232,0.01206,0.26234
1783676274401,2164,-3.90,-24.90,97.28,-2.0700,-0.6570,-1.2458,-0.00309,0.00168,0.02145
1783676274402,2165,-1.50,-22.80,102.12,0.3300,1.4430,3.5942,-0.00666,-0.00739,0.00000
1783676274461,2224,-3.75,-22.50,97.53,-1.9200,1.7430,-0.9958,-0.00414,-0.00547,0.00000
1783676274461,2224,0.75,-24.30,98.49,2.5800,-0.0570,-0.0358,0.00730,0.00196,0.07956
1783676274461,2224,-0.60,-25.35,96.56,1.2300,-1.1070,-1.9658,0.00771,0.00593,0.16840
1783676274462,2225,0.60,-25.95,96.56,2.4300,-1.7070,-1.9658,0.01131,0.00851,0.21287
1783676274521,2284,-1.65,-26.25,100.43,0.1800,-2.0070,1.9042,-0.00238,0.00420,0.00000
1783676274521,2284,-4.50,-26.70,97.77,-2.6700,-2.4570,-0.7558,-0.00499,0.00608,0.00132
1783676274521,2284,0.45,-23.10,100.67,2.2800,1.1430,2.1442,0.00173,-0.00381,0.00000
1783676274581,2344,-1.35,-23.85,97.77,0.4800,0.3930,-0.7558,0.00265,-0.00011,0.05290
1783676274581,2344,0.45,-22.95,99.46,2.2800,1.2930,0.9342,0.00403,-0.00311,0.00000
1783676274581,2344,-1.35,-25.80,97.28,0.4800,-1.5570,-1.2458,0.00440,0.00606,0.11043
1783676274581,2344,-0.90,-27.15,93.65,0.9300,-2.9070,-4.8758,0.01326,0.01374,0.35708
1783676274642,2405,-0.15,-21.90,99.95,1.6800,2.3430,1.4242,0.00097,-0.00705,0.00000
