epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783675897060,115,18.75,5.25,152.46,-0.8610,1.0560,1.5755,-0.00590,-0.00516,0.00000
1783675897061,116,18.90,3.60,152.70,-0.7110,-0.5940,1.8155,-0.00528,-0.00046,0.00000
1783675897062,117,19.80,5.40,146.65,0.1890,1.2060,-4.2345,0.00827,0.00060,0.23681
1783675897062,117,19.20,4.50,150.04,-0.4110,0.3060,-0.8445,0.00037,-0.00038,0.03294
1783675897062,117,19.95,4.35,148.83,0.3390,0.1560,-2.0545,0.00488,0.00171,0.12856
1783675897062,117,17.25,6.90,151.25,-2.3610,2.7060,0.3655,-0.00841,-0.00987,0.00000
1783675897063,118,18.45,1.80,146.41,-1.1610,-2.3940,-4.4745,0.00643,0.01043,0.26384
1783675897063,118,20.25,3.90,150.28,0.6390,-0.2940,-0.6045,0.00308,0.00187,0.05885
1783675897121,176,18.15,4.65,151.73,-1.4610,0.4560,0.8455,-0.00591,-0.00313,0.00000
1783675897121,176,19.05,6.45,147.62,-0.5610,2.2560,-3.2645,0.00386,-0.00390,0.14205
1783675897122,177,19.65,7.05,152.22,0.0390,2.8560,1.3355,-0.00365,-0.00959,0.00000
1783675897122,177,20.10,2.70,152.22,0.4890,-1.4940,1.3355,-0.00062,0.00344,0.00000
1783675897181,236,17.70,3.60,149.56,-1.9110,-0.5940,-1.3245,-0.00252,0.00168,0.02987
1783675897181,236,19.35,2.85,148.35,-0.2610,-1.3440,-2.5345,0.00475,0.00615,0.16105
1783675897181,236,18.15,5.25,154.64,-1.4610,1.0560,3.7555,-0.01182,-0.00763,0.00000
1783675897241,296,19.50,3.90,150.28,-0.1110,-0.2940,-0.6045,0.00099,0.00135,0.03657
1783675897241,296,17.85,4.95,151.98,-1.7610,0.7560,1.0955,-0.00736,-0.00445,0.00000
1783675897241,296,19.65,3.75,151.49,0.0390,-0.4440,0.6055,-0.00089,0.00075,0.00000
1783675897242,297,18.90,4.80,153.19,-0.7110,0.6060,2.3055,-0.00672,-0.00443,0.00000
1783675897300,355,21.15,1.65,152.46,1.5390,-2.5440,1.5755,0.00227,0.00701,0.00000
1783675897301,356,19.80,4.05,148.10,0.1890,-0.1440,-2.7845,0.00600,0.00318,0.17144
1783675897301,356,16.20,2.40,153.91,-3.4110,-1.7940,3.0255,-0.01468,0.00006,0.00000
1783675897301,356,21.15,4.35,151.98,1.5390,0.1560,1.0955,0.00211,-0.00044,0.00000
1783675897361,416,18.45,5.40,149.07,-1.1610,1.2060,-1.8145,-0.00020,-0.00261,0.05444
1783675897361,416,19.95,4.80,151.98,0.3390,0.6060,1.0955,-0.00143,-0.00258,0.00000
1783675897362,417,19.95,3.00,145.93,0.3390,-1.1940,-4.9545,0.01107,0.00840,0.31893
1783675897362,417,21.15,4.50,155.36,1.5390,0.3060,4.4755,-0.00453,-0.00407,0.00000
1783675897481,536,18.15,2.25,150.04,-1.4610,-1.9440,-0.8445,-0.00165,0.00549,0.03489
1783675897481,536,19.50,1.65,151.98,-0.1110,-2.5440,1.0955,-0.00141,0.00633,0.00000
1783675897481,536,18.90,4.65,156.33,-0.7110,0.4560,5.4455,-0.01276,-0.00696,0.00000
1783675897482,537,18.45,2.55,149.80,-1.1610,-1.6440,-1.0845,-0.00046,0.00504,0.05349
1783675897482,537,22.35,1.95,150.04,2.7390,-2.2440,-0.8445,0.01021,0.00923,0.16403
1783675897483,538,18.90,2.55,151.49,-0.7110,-1.6440,0.6055,-0.00249,0.00375,0.00000
1783675897483,538,18.00,2.85,151.98,-1.6110,-1.3440,1.0955,-0.00608,0.00180,0.00000
1783675897541,596,17.85,3.90,154.88,-1.7610,-0.2940,3.9955,-0.01257,-0.00411,0.00000
1783675897541,596,21.15,5.85,149.07,1.5390,1.6560,-1.8145,0.00715,-0.00208,0.12800
1783675897541,596,19.50,2.85,151.73,-0.1110,-1.3440,0.8455,-0.00141,0.00306,0.00000
1783675897541,596,18.15,6.00,147.86,-1.4610,1.8060,-3.0245,0.00107,-0.00343,0.10784
1783675897600,655,19.50,4.50,149.07,-0.1110,0.3060,-1.8145,0.00309,0.00074,0.09888
1783675897600,655,19.95,3.30,150.28,0.3390,-0.8940,-0.6045,0.00249,0.00342,0.05877
1783675897601,656,19.65,5.25,152.94,0.0390,1.0560,2.0555,-0.00432,-0.00500,0.00000
1783675897601,656,19.05,3.00,148.35,-0.5610,-1.1940,-2.5345,0.00385,0.00550,0.14993
1783675897661,716,19.80,5.10,148.83,0.1890,0.9060,-2.0545,0.00416,-0.00058,0.11306
1783675897661,716,18.15,5.40,148.59,-1.4610,1.2060,-2.2945,-0.00011,-0.00236,0.07375
1783675897661,716,19.35,4.35,149.07,-0.2610,0.1560,-1.8145,0.00274,0.00108,0.09663
1783675897721,776,19.35,1.50,149.80,-0.2610,-2.6940,-1.0845,0.00248,0.00873,0.09568
1783675897721,776,20.40,3.75,154.15,0.7890,-0.4440,3.2655,-0.00397,-0.00125,0.00000
1783675897721,776,17.70,4.95,148.35,-1.9110,0.7560,-2.5345,-0.00072,-0.00112,0.08113
1783675897722,777,19.65,2.70,148.10,0.0390,-1.4940,-2.7845,0.00613,0.00703,0.18686
1783675897781,836,16.20,3.30,153.91,-3.4110,-0.8940,3.0255,-0.01505,-0.00257,0.00000
1783675897781,836,21.90,3.90,147.86,2.2890,-0.2940,-3.0245,0.01240,0.00528,0.25012
1783675897781,836,18.30,3.90,149.80,-1.3110,-0.2940,-1.0845,-0.00143,0.00099,0.02916
1783675897781,836,18.60,4.65,148.83,-1.0110,0.4560,-2.0545,0.00099,-0.00008,0.08405
1783675897840,895,20.55,4.05,148.83,0.9390,-0.1440,-2.0545,0.00668,0.00300,0.15079
1783675897840,895,18.90,3.90,149.80,-0.7110,-0.2940,-1.0845,0.00024,0.00140,0.04698
1783675897841,896,18.60,5.70,149.07,-1.0110,1.5060,-1.8145,0.00009,-0.00338,0.05448
1783675897901,956,18.45,4.80,153.43,-1.1610,0.6060,2.5455,-0.00844,-0.00497,0.00000
1783675897901,956,16.35,4.20,150.52,-3.2610,0.0060,-0.3645,-0.00840,-0.00190,0.00000
1783675897901,956,20.10,5.70,150.77,0.4890,1.5060,-0.1145,0.00098,-0.00396,0.00000
1783675897902,957,18.90,4.50,147.38,-0.7110,0.3060,-3.5045,0.00471,0.00193,0.18042
1783675897961,1016,19.35,4.80,147.86,-0.2610,0.6060,-3.0245,0.00491,0.00090,0.16114
1783675897961,1016,19.20,4.05,149.31,-0.4110,-0.1440,-1.5745,0.00197,0.00163,0.08248
1783675897961,1016,19.80,1.35,151.25,0.1890,-2.8440,0.3655,0.00097,0.00810,0.02600
1783675897962,1017,19.05,4.20,146.65,-0.5610,0.0060,-4.2345,0.00667,0.00360,0.23221
1783675898021,1076,21.45,6.90,151.73,1.8390,2.7060,0.8455,0.00239,-0.00746,0.00000
1783675898021,1076,19.65,1.95,144.96,0.0390,-2.2440,-5.9245,0.01255,0.01218,0.38251
1783675898021,1076,19.80,4.05,148.59,0.1890,-0.1440,-2.2945,0.00505,0.00272,0.14263
1783675898021,1076,19.05,5.10,152.70,-0.5610,0.9060,1.8155,-0.00547,-0.00475,0.00000
1783675898080,1135,19.95,1.35,152.22,0.3390,-2.8440,1.3355,-0.00049,0.00729,0.00000
1783675898080,1135,17.85,3.60,149.80,-1.7610,-0.5940,-1.0845,-0.00257,0.00156,0.02021
1783675898081,1136,19.05,3.30,151.98,-0.5610,-0.8940,1.0955,-0.00333,0.00120,0.00000
1783675898140,1195,17.25,4.35,152.94,-2.3610,0.1560,2.0555,-0.01066,-0.00401,0.00000
1783675898140,1195,17.70,6.30,148.59,-1.9110,2.1060,-2.2945,-0.00173,-0.00530,0.04714
1783675898141,1196,17.40,6.15,152.22,-2.2110,1.9560,1.3355,-0.00957,-0.00849,0.00000
1783675898141,1196,19.65,3.60,149.56,0.0390,-0.5940,-1.3245,0.00293,0.00301,0.08778
1783675898201,1256,17.85,4.95,147.86,-1.7610,0.7560,-3.0245,0.00066,-0.00056,0.11439
1783675898201,1256,19.35,4.95,152.46,-0.2610,0.7560,1.5755,-0.00410,-0.00388,0.00000
1783675898201,1256,18.00,4.20,148.83,-1.6110,0.0060,-2.0545,-0.00051,0.00082,0.07286
1783675898201,1256,19.80,4.95,152.46,0.1890,0.7560,1.5755,-0.00284,-0.00357,0.00000
1783675898262,1317,16.50,3.75,151.49,-3.1110,-0.4440,0.6055,-0.00969,-0.00140,0.00000
1783675898262,1317,20.55,4.50,153.67,0.9390,0.3060,2.7855,-0.00292,-0.00288,0.00000
1783675898262,1317,18.60,3.15,152.70,-1.0110,-1.0440,1.8155,-0.00593,0.00065,0.00000
1783675898263,1318,20.10,5.85,152.94,0.4890,1.6560,2.0555,-0.00331,-0.00645,0.00000
1783675898320,1375,18.75,4.95,153.19,-0.8610,0.7560,2.3055,-0.00720,-0.00498,0.00000
1783675898320,1375,17.70,3.30,151.25,-1.9110,-0.8940,0.3655,-0.00569,0.00096,0.00000
1783675898380,1435,18.60,6.15,149.07,-1.0110,1.9560,-1.8145,-0.00009,-0.00470,0.04785
1783675898380,1435,20.40,4.20,147.14,0.7890,0.0060,-3.7445,0.00948,0.00406,0.24349
